icao,le_ident,he_ident,le_lat,le_lon,he_lat,he_lon,le_displaced_ft,he_displaced_ft
CFS4,4,22,65.67179243,-138.12107281,65.67871544,-138.10689346,0,0
CFS6,13,31,57.14770417,-115.08132924,57.13358507,-115.06685823,900.0,0.0
CFS7,08,26,62.620257,-131.278998,62.618422,-131.260972,0,0
CFT8,07,25,56.16090012,-113.48300171,56.16080093,-113.46399689,0.0,0.0
CFX2,16,34,50.73799993,-113.93466514,50.72971293,-113.93400518,0.0,0.0
CJA3,10,28,49.20962492,-98.06839407,49.2065807,-98.05253467,0.0,0.0
CJA3,18,36,49.21457415,-98.06351991,49.20884647,-98.06349481,0,0
CJB3,09,27,49.55230172,-96.68175725,49.55231115,-96.67685356,0,0
CJB3,14,32,49.55445697,-96.68369855,49.5473236,-96.6775636,0.0,0.0
CJB5,01,19,50.16677072,-101.65252057,50.16972969,-101.65081001,0,0
CJB5,08,26,50.16709354,-101.6478914,50.16710979,-101.63503587,0,0
CJB8,08,26,50.83340073,-108.0759964,50.83330154,-108.06400299,0.0,0.0
CJC2,08,26,51.053619,-105.84291487,51.053619,-105.83375113,0,0
CJC2,17,35,51.05889583,-105.833847,51.05368417,-105.833847,0,0
CJC3,13,31,51.25121771,-105.98170705,51.24439629,-105.97288361,0,0
CJC5,02,20,49.65468286,-108.40823576,49.66175235,-108.3992334,0.0,0.0
CJC5,12,30,49.6616235,-108.41246219,49.6557371,-108.40336898,0.0,0.0
CJC6,07,25,52.7320493,-107.38242985,52.7323987,-107.36590615,0,0
CJD3,09,27,52.99371408,-105.45447124,52.99225714,-105.44263748,0,0
CJD5,10,28,50.87942633,-109.50813161,50.87644578,-109.49601133,0,0
CJE2,11,29,54.62277434,-107.39708313,54.61737566,-107.38635687,0,0
CJE3,06,24,49.69889832,-103.80599976,49.70140076,-103.79399872,0.0,0.0
CJE3,12,30,49.70100021,-103.80799866,49.6935997,-103.79499817,0.0,0.0
CJE5,16,34,53.38078987,-108.342224,53.37365813,-108.342224,0,0
CJF3,15,33,55.49471827,-107.93433432,55.48476539,-107.92731988,0,0
CJF8,09,27,52.05169246,-107.99362987,52.04968754,-107.98296637,0,0
CJG2,09,27,51.22005423,-109.39787565,51.21874577,-109.3871285,0,0
CJH3,12,30,53.10135475,-109.33475483,53.0944986,-109.32290573,0,0
CJH4,09,27,49.44623423,-106.93792584,49.44434149,-106.92645416,0,0
CJH8,08,26,53.01669899,-106.75331481,53.01658374,-106.74423991,0,0
CJH8,17,35,53.01684378,-106.74764473,53.01260702,-106.74763972,0,0
CJJ4,08,26,49.14714591,-100.50885729,49.14714591,-100.49219129,0.0,0.0
CJJ4,17,35,49.1537035,-100.50064994,49.14763608,-100.50063468,0.0,0.0
CJJ5,16,34,50.62304435,-108.47019622,50.6164612,-108.47019622,0,0
CJJ8,11,29,52.34606224,-109.92625668,52.34153826,-109.91500827,0.0,0.0
CJK3,10,28,55.11190879,-107.72350208,55.10876321,-107.70917592,0,0
CJK4,08,26,50.64254026,-102.10537882,50.64254026,-102.09232043,0.0,0.0
CJK5,03,21,50.05829351,-108.49289165,50.06239845,-108.48612806,0,0
CJK5,17,35,50.06230268,-108.48713767,50.05503489,-108.48733526,0,0
CJK9,07,25,51.95078076,-102.6335354,51.95196201,-102.62270908,0,0
CJL2,07,25,58.66077026,-103.55392121,58.66362974,-103.5227354,0,0
CJL4,12,30,56.47660785,-109.41065566,56.46980611,-109.39675351,0,0
CJL6,08,26,49.09583567,-97.53812684,49.09583567,-97.52974871,0.0,0.0
CJL6,17,35,49.0985218,-97.52923717,49.08946344,-97.5292138,0.0,138.0
CJL8,02,20,60.28432819,-102.50971205,60.29931983,-102.49433343,0,0
CJL9,07,25,52.463055,-107.3831197,52.463055,-107.3713063,0,0
CJM2,11,29,51.14785965,-103.43093695,51.14436235,-103.42128105,0,0
CJM4,17,35,49.86941873,-106.57092,49.86256127,-106.57092,0,0
CJM5,07,25,49.17264402,-108.58227948,49.17264402,-108.56712509,0.0,0.0
